null,resp_time,location,number,day_offset,week
3,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
"43.70642048,-72.28715665",2013-03-24 10:00:00,,,0,1
"43.70644789,-72.28711304",2013-03-24 09:00:00,,,0,1
"43.70642048,-72.28715665",2013-03-24 10:00:00,,,0,1
,2013-04-03 22:00:00,"43.70566059,-72.29130704",4.0,10,2
,2013-04-04 04:00:00,"43.70619631,-72.28823087",4.0,10,2
,2013-04-03 08:00:00,"43.7056535,-72.29132724",3.0,9,2
,2013-04-01 22:00:00,"43.70661883,-72.28760805",3.0,8,2
,2013-04-03 04:00:00,"43.7056535,-72.29132724",3.0,9,2
,2013-04-02 18:00:00,"43.70546977,-72.29153142",3.0,9,2
,2013-04-03 16:00:00,"43.70566059,-72.29130704",4.0,10,2
,2013-04-03 08:00:00,"43.7056535,-72.29132724",3.0,9,2
,2013-04-04 20:00:00,"43.70619631,-72.28823087",3.0,11,2
,2013-04-05 01:00:00,"43.70549429,-72.29181405",3.0,11,2
,2013-04-05 04:00:00,"43.70263734,-72.29102803",3.0,11,2
,2013-04-05 18:00:00,"43.70572255,-72.29124291",3.0,12,2
,2013-04-06 04:00:00,"43.50783677,-72.13449058",3.0,12,2
,2013-04-07 06:00:00,"42.36112482,-71.07113958",2.0,13,2
,2013-04-06 21:00:00,"43.50783677,-72.13449058",2.0,13,2
,2013-04-07 18:00:00,"42.36112482,-71.07113958",2.0,14,3
,2013-04-08 23:00:00,"43.70560342,-72.29137243",2.0,15,3
,2013-04-08 06:00:00,"43.70599853,-72.29087445",2.0,14,3
,2013-04-09 21:00:00,"43.70566653,-72.29162127",4.0,16,3
,2013-04-10 19:00:00,"43.70355489,-72.28875143",3.0,17,3
,2013-04-10 20:00:00,"43.70355489,-72.28875143",3.0,17,3
,2013-04-11 20:00:00,"43.70349928,-72.29089432",3.0,18,3
,2013-04-12 01:00:00,"43.70234665,-72.28813935",3.0,18,3
,2013-04-12 20:00:00,"43.70234665,-72.28813935",3.0,19,3
,2013-04-12 18:00:00,"43.70234665,-72.28813935",3.0,19,3
,2013-04-13 20:00:00,"43.70462998,-72.28974619",4.0,20,3
,2013-04-18 20:00:00,"43.70557117,-72.29109324",3.0,25,4
,2013-04-14 19:00:00,"43.70500487,-72.2905778",2.0,21,4
,2013-04-14 20:00:00,"43.70500487,-72.2905778",2.0,21,4
,2013-04-16 06:00:00,Unknown,3.0,22,4
,2013-04-15 21:00:00,Unknown,3.0,22,4
,2013-04-17 07:00:00,"43.70567734,-72.29183525",3.0,23,4
,2013-04-17 23:00:00,"43.70523224,-72.29210557",4.0,24,4
,2013-04-18 06:00:00,"43.70565768,-72.29148478",4.0,24,4
,2013-04-19 06:00:00,"43.70564535,-72.29122186",3.0,25,4
,2013-04-22 06:00:00,Unknown,3.0,28,5
,2013-04-22 02:00:00,"44.26783796,-69.80648763",4.0,28,5
,2013-04-23 06:00:00,"43.70451755,-72.28952021",3.0,29,5
,2013-04-28 07:00:00,"42.37524231,-71.1246049",4.0,34,5
,2013-05-03 17:00:00,"43.70571777,-72.29145544",4.0,40,6
,2013-05-09 06:00:00,"43.70569392,-72.290703",3.0,45,7
,2013-05-13 06:00:00,"43.70614429,-72.2869262",3.0,49,8
,2013-05-25 06:00:00,Unknown,4.0,61,9
,2013-05-29 02:00:00,"43.70553515,-72.29157025",4.0,65,10
