location,number,resp_time,null,day_offset,week
"43.70709166,-72.29282882",3.0,2013-03-30 10:00:00,,6,1
,,2013-03-24 09:00:00,1,0,1
,,2013-03-24 10:00:00,"43.70632816,-72.28699831",0,1
,,2013-03-24 10:00:00,"43.70632816,-72.28699831",0,1
,,2013-03-24 10:00:00,"43.70632816,-72.28699831",0,1
,,2013-03-24 10:00:00,4,0,1
"43.70722118,-72.29347434",3.0,2013-03-27 02:00:00,,2,1
"43.70704851,-72.29352529",4.0,2013-03-29 06:00:00,,4,1
"43.70712733,-72.29338199",3.0,2013-04-01 06:00:00,,7,2
"43.7070604,-72.29313622",3.0,2013-04-05 04:00:00,,11,2
"43.70695809,-72.29258525",3.0,2013-04-07 06:00:00,,13,2
"43.70620445,-72.29116858",4.0,2013-04-08 07:00:00,,14,3
"43.70719741,-72.29304273",2.0,2013-04-09 06:00:00,,15,3
"43.7069528,-72.2931724",3.0,2013-04-10 20:00:00,,17,3
"43.70847866,-72.28433145",3.0,2013-04-12 20:00:00,,19,3
"43.70791892,-72.28484015",4.0,2013-04-11 20:00:00,,18,3
"43.70725458,-72.29319166",2.0,2013-04-13 20:00:00,,20,3
"43.70709895,-72.29314257",3.0,2013-04-18 06:00:00,,24,4
"43.70306572,-72.29094266",2.0,2013-04-14 20:00:00,,21,4
"43.70685857,-72.29270076",2.0,2013-04-16 06:00:00,,22,4
"43.70730987,-72.29311925",3.0,2013-04-21 06:00:00,,27,4
"43.70637115,-72.28677143",3.0,2013-04-22 06:00:00,,28,5
"43.70597948,-72.28876093",2.0,2013-04-23 06:00:00,,29,5
"43.70733654,-72.29309241",3.0,2013-05-06 06:00:00,,42,7
"43.64550248,-72.31783898",1.0,2013-05-25 06:00:00,,61,9
