null,resp_time,hour,location,rate,social,day_offset,week
"43.70641977,-72.28711458",2013-03-24 09:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
8,2013-03-24 10:00:00,,,,,0,1
"43.70427927,-72.28971705",2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
1,2013-03-24 10:00:00,,,,,0,1
,2013-03-28 17:00:00,8.0,"43.70714838333333,-72.2890624",1.0,3.0,4,1
,2013-03-29 17:00:00,8.0,"43.707167749999996,-72.28905748333334",1.0,2.0,5,1
,2013-03-30 20:00:00,10.0,"43.7071966,-72.28920046666667",1.0,2.0,6,1
,2013-04-01 17:00:00,10.0,"43.7069961,-72.28911515",1.0,1.0,8,2
,2013-04-03 17:00:00,8.0,"43.70699236666667,-72.28822946666666",1.0,2.0,10,2
,2013-04-02 17:00:00,8.0,"43.70716975,-72.28908595",1.0,2.0,9,2
,2013-04-04 17:00:00,8.0,"43.70723535,-72.28908265",2.0,2.0,11,2
,2013-04-05 15:00:00,6.0,"43.70731333333333,-72.288977",1.0,2.0,12,2
,2013-04-06 18:00:00,6.0,"43.70711195,-72.2887552",1.0,2.0,13,2
,2013-04-05 17:00:00,6.0,"43.70726283333333,-72.2891943",2.0,1.0,12,2
,2013-04-07 17:00:00,6.0,"43.707120483333334,-72.28906238333333",1.0,1.0,14,3
,2013-04-08 17:00:00,6.0,"43.7069932,-72.28924686666667",1.0,1.0,15,3
,2013-04-09 17:00:00,9.0,"43.70702141666666,-72.2891163",1.0,1.0,16,3
,2013-04-10 18:00:00,7.0,"43.707149566666665,-72.28889988333333",2.0,1.0,17,3
,2013-04-11 17:00:00,4.0,"43.7067482,-72.28869738333333",1.0,1.0,18,3
,2013-04-12 17:00:00,4.0,"43.707215033333334,-72.28899075",1.0,1.0,19,3
,2013-04-13 19:00:00,10.0,"43.70730386666666,-72.28898323333334",1.0,1.0,20,3
,2013-04-16 17:00:00,9.0,"43.70736665,-72.28907893333333",1.0,1.0,23,4
,2013-04-15 17:00:00,9.0,"43.707110916666664,-72.2889554",1.0,1.0,22,4
,2013-04-18 17:00:00,9.0,"43.70732821666667,-72.2888843",2.0,1.0,25,4
,2013-04-23 17:00:00,7.0,"43.70723795,-72.2891303",1.0,2.0,30,5
,2013-04-30 17:00:00,9.0,"43.706983533333336,-72.28911598333333",2.0,1.0,37,6
,2013-05-16 17:00:00,1.0,"43.707203316666664,-72.28909996666667",2.0,1.0,53,8
