null,resp_time,location,number,day_offset,week
"43.70492028,-72.28847456",2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
1,2013-03-24 10:00:00,,,0,1
"43.70639976,-72.28712436",2013-03-24 09:00:00,,,0,1
"43.70427927,-72.28971705",2013-03-24 10:00:00,,,0,1
,2013-03-31 06:00:00,"43.7070176,-72.28908631666667",3.0,6,1
,2013-03-30 10:00:00,"43.7071139,-72.2889671",3.0,6,1
,2013-04-03 04:00:00,"43.7069401,-72.28877828333333",3.0,9,2
,2013-04-01 06:00:00,"43.707209383333335,-72.28884528333333",3.0,7,2
,2013-04-04 04:00:00,"43.706527333333334,-72.28934398333334",2.0,10,2
,2013-04-05 15:00:00,"43.70728103333333,-72.28899271666667",3.0,12,2
,2013-04-06 04:00:00,"43.702451116666666,-72.28956378333334",3.0,12,2
,2013-04-07 06:00:00,"43.707121433333334,-72.28947938333333",2.0,13,2
,2013-04-06 18:00:00,"43.70713576666667,-72.28891061666667",2.0,13,2
,2013-04-10 20:00:00,"43.7030312,-72.28956423333334",2.0,17,3
,2013-04-12 20:00:00,"43.70737126666667,-72.28852878333333",3.0,19,3
,2013-04-11 20:00:00,"43.7072184,-72.28903266666667",2.0,18,3
,2013-04-13 20:00:00,"43.70717081666667,-72.28903926666666",2.0,20,3
